id,padalinys,x,y,vadovas,adresas,telefonas,el. paštas,darbo laikas,darbo laikas vasarą,
1,Aleksoto padalinys,54.884481,23.894975,Asta Bareckienė, Adresas: Veiverių g. 43, Tel. (8 37) 295 777, El. p. aleksotaspit@kaunas.mvb.lt," Darbo laikas: I–V – 9–19, VI – 10–16"," Darbo laikas vasarą: I–V – 9–18, VI – 9–15",
2,„Aušros“ padalinys,54.904571,23.925344,Regina Markevičienė,Adresas: Aušros g. 37,Tel. (8 37) 730994,El. p. ausra@kaunas.mvb.lt,"Darbo laikas: I–V – 10–19, VI – 10–16",Darbo laikas vasarą: I–V – 10–18,
3,„Berželio“ padalinys,54.9164779,23.9815479,Daiva Stankevičienė, Adresas: Taikos pr. 113B, Tel. (8 37) 452 404, El. p. berzelispit@kaunas.mvb.lt," Darbo laikas: I–V – 9–19, VI – 10–16"," Darbo laikas vasarą: I–V – 9–18, VI – 9–15",
4,Dainavos padalinys,54.925426,23.9642399,Rita Matulevičienė, Adresas: Savanorių pr. 377, Tel. (8 37) 411 185, El. p. dainavapit@kaunas.mvb.lt," Darbo laikas: I–V – 9–19, VI – 9–15"," Darbo laikas vasarą: I–V – 10–18, VI – 9–15",
6,﻿﻿﻿﻿Eigulių padalinys,54.9304737,23.9362096,Zita Sneigienė, Adresas: Šiaurės pr. 95, Tel. (8 37) 386 972, El. p. eiguliai@kaunas.mvb.lt," Darbo laikas: I–V – 9–19, VI – 10–16"," Darbo laikas vasarą: I–V – 10–18, VI – 9–15",
7,Girstupio padalinys,54.906614,23.974957,Violeta Pankovienė, Adresas: Kovo 11-osios g. 24, Tel. (8 37) 457 465, El. p. girstupis@kaunas.mvb.lt," Darbo laikas: I–V – 9–19, VI – 10–16"," Darbo laikas vasarą: I–V – 9–18, VI – 9–15",
9,Kalniečių padalinys,54.9152163,23.944263,Danutė Statkuvienė, Adresas: Savanorių pr. 226, Tel. (8 37) 314 199, El. p. kalnieciai@kaunas.mvb.lt," Darbo laikas: I–V – 9–19, VI – 10–16"," Darbo laikas vasarą: I–V – 10–18, VI – 9–15",
10,Z. Kuzmickio padalinys,54.902823,23.9061715,L. e. p. vedėja Liudmila Mysenko, Adresas: Raseinių g. 26, Tel. (8 37) 225 647, El. p. kuzmickis@kaunas.mvb.lt, Darbo laikas: ,Dėl techninių kliūčių skaitytojai neaptarnaujami. Detalesnė informacija tel. (8 656) 11696., Darbo laikas vasarą: –
11,Lampėdžių padalinys,54.908826,23.8169849,Vyresn. bibliotekininkė Milda Vitulskienė, Adresas: Romuvos g. 48, Tel. (8 37) 384 668, El. p. lampedziai@kaunas.mvb.lt," Darbo laikas: II, III, IV – 10-18 val.",,
12,Neries padalinys,54.9139989,23.896554,Dangira Zdanienė, Adresas: Varnių g. 36, Tel. (8 37) 363 070, El. p. neris@kaunas.mvb.lt," Darbo laikas: I–V – 10–18, VI – 10–16"," Darbo laikas vasarą: I–V – 10–18, VI – 9–15",
