Nr.,Pavadinimas,Koordinatės
1,Doda užkandinė,"
            23.9192005,54.905708,0
          "
2,Kauno m. V. Kudirkos viešoji biblioteka,"
            23.912957,54.8972473,0
          "
3,Kauno menininkų namai,"
            23.912232,54.900987,0
          "
4,Kauno m. savivaldybės visuomenės sveikatos biuras,"
            23.9312904999999,54.9063825,0
          "
5,Kauno miesto savivaldybė,"
            23.9303167,54.921776,0
          "
6,Kaunas IN,"
            23.8859150999999,54.896884,0
          "
7,"Romuva, kino teatras","
            23.9156009000001,54.8977339,0
          "
8,Kauno miesto muziejus,"
            23.8859149,54.896884,0
          "
9,Judesys,"
            23.930479,54.9098819,0
          "
10,Donut LAB,"
            23.9139049,54.8981332,0
          "
11,Velostreet - Vasare Dviračių parduotuvė Kaune,"
            23.971749,54.901394,0
          "
12,"OVELO Dviračiai, Remontas","
            23.8915131,54.8733155,0
          "
13,MB Dviračių Sala,"
            24.012114,54.855784,0
          "
14,rePUBlic No.1,"
            23.9133116,54.8973353,0
          "
15,Nacionalinis Kauno dramos teatras,"
            23.9108325,54.897347,0
          "
16,Raudonas Dviratis,"
            23.8475309,54.91516,0
          "
17,Gokart track “Kartlandas Kaunas” Drobes 62.,"
            23.950767,54.869968,0
          "
18,Euroatletas,"
            23.952437,54.917295,0
          "
19,Technologinis Progresas,"
            23.909858,54.896576,0
          "
20,PROSPORT.LT,"
            23.9382555,54.9080052,0
          "
21,Prezidento Valdo Adamkaus biblioteka-muziejus,"
            23.9135608,54.8985923,0
          "
22,"Odontologijos klinika Kaune ""Dantenė""","
            23.971891,54.920503,0
          "
23,Bar Klimas,"
            23.8877029,54.896591,0
          "
24,ROCKNROLLA,"
            23.907744,54.897772,0
          "
25,Kauno technologijos universitetas,"
            23.912825,54.898991,0
          "
26,Lietuvos sveikatos mokslų universitetas,"
            23.9167513,54.8942492,0
          "
27,PLAZA langai,"
            23.9968888,54.9193179,0
          "
28,2½ obuolio,"
            23.8944240000001,54.895662,0
          "
29,"A. Kleišmanto firma ""du Safyrai""","
            23.8931731,54.896012,0
          "
30,Traška Braška,"
            23.887599,54.90422,0
          "
31,"Kauno technologijos universitetas, Elektros ir elektronikos fakultetas","
            23.956079,54.905923,0
          "
32,Tvarkingas dviratis,"
            23.949344,54.8701778,0
          "
33,"UPS Lietuva, Skubios Siuntos UAB","
            24.0060777,54.942227,0
          "
34,Goode,"
            23.9222228,54.8893204,0
          "
35,UAB „Dvirtex“ Raudondvario pl.,"
            23.875273,54.906177,0
          "
36,Akinių meistras,"
            23.9792624,54.9060966,0
          "
37,Mondelez Lietuva Production,"
            23.9903019999999,54.9176933,0
          "
38,Karcher Kaunas,"
            23.949043,54.9181687,0
          "
39,CoffeeLoft.lt,"
            23.9496169,54.9176519,0
          "
40,Mybike,"
            23.885893,54.9292869,0
          "
41,KUHNE,"
            23.9186669000001,54.9022139,0
          "
42,Bufetas,"
            23.917963,54.905084,0
          "
43,Bistro Pietų Stalas,"
            23.9472346,54.9166876,0
          "
44,HIGH CARE grožio ir sveikatos centras,"
            23.9159496,54.8972064,0
          "
